Description, Level, Line_Number, Rule, RuleId, RuleNamespace, Section, Source, Tool
Sign 'ComputeLibrary.dll' with a strong name key., CriticalError, , AssembliesShouldHaveValidStrongNames, CA2210, Microsoft.Design, NoStrongName., , FxCop
Mark 'ComputeLibrary.dll' with CLSCompliant(true) because it exposes externally visible types., Error, , MarkAssembliesWithClsCompliant, CA1014, Microsoft.Design, , , FxCop
Correct the spelling of 'Vehical' in type name 'Vehical'., CriticalWarning, , IdentifiersShouldBeSpelledCorrectly, CA1704, Microsoft.Naming, Type.Vehical, , FxCop
Correct the casing of 'color' in member name 'Vehical.color' by changing it to 'Color'., Error, 12, IdentifiersShouldBeCasedCorrectly, CA1709, Microsoft.Naming, Member.color, C:\Users\320068391\source\repos\TestApp\ComputeLibrary\Car.cs, FxCop
Correct the casing of 'model' in member name 'Vehical.model' by changing it to 'Model'., Error, 11, IdentifiersShouldBeCasedCorrectly, CA1709, Microsoft.Naming, Member.model, C:\Users\320068391\source\repos\TestApp\ComputeLibrary\Car.cs, FxCop
Correct the spelling of 'Vehi' in type name 'VehiCalRepository'., CriticalWarning, , IdentifiersShouldBeSpelledCorrectly, CA1704, Microsoft.Naming, Type.Vehi, , FxCop
Because type 'VehiCalRepository' contains only 'static' members  mark it as 'static' to prevent the compiler from adding a default public constructor., Error, , StaticHolderTypesShouldNotHaveConstructors, CA1053, Microsoft.Design, CSharp2_0., , FxCop
'VehiCalRepository.Main(string[])' appears to have no upstream public or protected callers., Warning, 29, AvoidUncalledPrivateCode, CA1811, Microsoft.Performance, , C:\Users\320068391\source\repos\TestApp\ComputeLibrary\Car.cs, FxCop
'VehiCalRepository.Main(string[])' declares a variable  'list'  of type 'IEnumerable<Vehical>'  which is never used or is only assigned to. Use this variable or remove it., Warning, 31, RemoveUnusedLocals, CA1804, Microsoft.Performance, list, C:\Users\320068391\source\repos\TestApp\ComputeLibrary\Car.cs, FxCop
Parameter 'args' of 'VehiCalRepository.Main(string[])' is never used. Remove the parameter or use it in the method body., Warning, 29, ReviewUnusedParameters, CA1801, Microsoft.Usage, args, C:\Users\320068391\source\repos\TestApp\ComputeLibrary\Car.cs, FxCop
